Monitoring_SiteID,water_body,Determinand_Label,Analyzed_Matrix,Result_Unit,Reference_Year,Sampling_Period,LOQ_Value,Num_of_Samples,Quality_Samples,Quality_MinimumValue,Minimum_Value,Quality_Meanvalue,Mean_Value,Quality_MaximumValue,Maximum_value,Quality_MedianValue,Median_Value,UID,Country_Name,MinimumValue_outlier,MaxValue_outlier,MeanValue_outlier,Start_Date,End_Date
ATPG32101272,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2.1,0,2.1,0,2.1,0,2.1,11179610,Austria,0,0,0,2015-01-01,2015-12-31
CZPLA_46,River Water,Hydrogen Carbonate (Bicarbonate) HCO3,Water,mg/L,2015,2015-01-19--2015-12-07,,12,0,0,224,0,271.83333,0,339,0,270,11159276,Czech Republic,0,0,0,2015-01-19,2015-12-07
ATPG41111032,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,57.323,0,57.323,0,57.323,0,57.323,11187345,Austria,0,0,0,2015-01-01,2015-12-31
ATPG40907042,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,68.363,0,68.363,0,68.363,0,68.363,11187391,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30500982,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,77.6,0,77.6,0,77.6,0,77.6,11187417,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41222012,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,247.594,0,247.594,0,247.594,0,247.594,11187555,Austria,0,0,0,2015-01-01,2015-12-31
ATPG20418182,Ground Water,Atrazine,Water,ug/L,2015,2015-01-01--2015-12-31,0.01,1,1,1,0.01,1,0.01,1,0.01,1,0.01,11169733,Austria,0,0,0,2015-01-01,2015-12-31
ATPG54105982,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,1,1,0,0,6.8,0,6.8,0,6.8,0,6.8,11181690,Austria,0,0,0,2015-01-01,2015-12-31
ATPG40905012,Ground Water,Tetrachloroethylene,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.08,0,0.08,0,0.08,0,0.08,11166215,Austria,0,0,0,2015-01-01,2015-12-31
CZPVL_1048,River Water,pH,Water,[pH],2014,2014-01-13--2014-12-09,,12,,0,7.1,0,7.525,0,8.4,0,7.45,11127924,Czech Republic,0,0,0,2014-01-13,2014-12-09
